COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Concepción,EMILIO ARMSTRONG,UDI,Coalición,No,0,Ninguno,No,https://www.facebook.com/emilioarmstrong?filter=2,Armstrongconce
Concepción,FRANCISCO CORDOVA,PH,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/alcaldecordova,Alcaldecordova
Concepción,RAUL ROMERO,IND,Regionalistas e Independientes,No,0,Ninguno,2008,https://www.facebook.com/pages/Ra%C3%BAl-Romero/152487161446266,Raulromeroe
Conchalí,CARLOS SOTTOLICHIO,PPD,Por un Chile Justo,No,12,1996-2000/ 2004-2008,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/pages/CARLOS-SOTTOLICHIO-ALCALDE-2012/275794225789698,
Conchalí,DIEGO VILLAS ,MAS,Más Humanos,No,0,Ninguno,No,,
Conchalí,FERNANDO PARRA,PRO,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/parraalcalde.conchali,
Conchalí,IVAN ACOSTA,PI,Igualdad para Chile,No,0,Ninguno,No,https://www.facebook.com/pages/Ivan-Acosta/405756202817779,Ivanacostagalaz
Conchalí,RUBEN MALVOA,RN,Coalición,Sí,4,2008-2012,2008,,Rubenmalvoa
Conchalí,PABLO GARRIDO,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Pablo-Garrido-Mardones/56951426739,
Concón,ALEX MOYA ,PI,Igualdad para Chile,No,0,Ninguno,No,https://www.facebook.com/pages/ALEX-MOYA-candidato-a-Alcalde-de-Conc%C3%B3n/348126685275757,moya_sabe
Concón,JORGE VALDOVINOS,IND,Concertación,Sí,4,2008-2012,"2000, 2004, 2008",https://www.facebook.com/jorgevaldovinosalcalde,JVGalcalde
Concón,OSCAR SUMONTE ,IND,Sin Pacto,No,12,1996-2008,"1996, 2000, 2004, 2008",https://www.facebook.com/pages/Oscar-Sumonte/343570099006357,sumonteoficial
Concón,RICARDO URENDA ,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/ricardourenda2012,Rurendah
Constitución,HUGO TILLERIA,IND,Por un Chile Justo,Sí,4,2008 - 2012,2008,https://www.facebook.com/pages/HUGO-TILLER%C3%8DA-TORRES/23770605274,
Constitución,OSCAR GONZALEZ ,IND,Regionalistas e Independientes,No,0,Ninguno,No,,
Constitución,CARLOS VALENZUELA,IND,Coalición,No,0,Ninguno,2008,,Carlosazul42
Constitución,JAVIER VALLEJO,IND,Sin Pacto,No,0,Ninguno,No,,
Contulmo,DIEGO IBAÑEZ,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/diegoeduardo.ibanezburgos,DiegoEIB
Contulmo,DORIS PAREDES ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/DorisParedesAlcaldesaContulmo,dorislaila
Contulmo,JOSE RETAMAL,IND,Más Humanos,No,0,Ninguno,No,,
Contulmo,MAURICIO LEBRECHT,UDI,Coalición,No,0,Ninguno,2000,https://www.facebook.com/apoyemosamauriciolebrecht.alcalde,
Copiapó,JAIME VARGAS,IND,Sin Pacto,No,0,Ninguno,2008,,
Copiapó,MARCOS LOPEZ,IND,Concertación,No,12,1996 - 2004,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/marcos.lopezrivera.3,
Copiapó,MAGLIO CICARDINI ,IND,Regionalistas e Independientes,Sí,4,Ninguno,2008,,Magliocicardini
Copiapó,PEDRO CID,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/PEDRO-CID-ALCALDE-COPIAPO-2012/288731494471593,Pedrocid
Copiapó,RODRIGO ROJAS,IND,Sin Pacto,No,0,Ninguno,No,,votacopiapo
Coquimbo,ALFONSO OSSANDÓN,PI,Igualdad para Chile,No,0,Ninguno,No,https://www.facebook.com/alfonso.antiquera,
Coquimbo,CRISTIAN GALLEGUILLOS,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/drgalleguillos,DrGalleguillos
Coquimbo,CARLOS OROS,IND,El cambio por ti,No,0,Ninguno,1992,https://www.facebook.com/CarlosOrosParaAlcalde?filter=1,oros_carlos
Coquimbo,VIVIANA CHIRINO,PH,Más Humanos,No,0,Ninguno,No,,
Coquimbo,JOSÉ SULANTAY,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/josesulantay.alcaldedecoquimbo,sulantay2012
Coquimbo,MARIA LEYTON FLORES,IND,Sin Pacto,No,0,Ninguno,No,,
Coquimbo,MOIRA NAVEA ,IND,Sin Pacto,No,0,Ninguno,2008,https://www.facebook.com/MoiraNaveaAlcaldesa,Moiranavea
Coronel,LEONIDAS ROMERO,IND,Coalición,Sí,4,2008-2012,"1996, 2000, 2004, 2008",,Alcalde_Romero
Coronel,RENE CARVAJAL ,PS,Concertación,No,12,1992-2008,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/ReneCarvajalZuniga,renecarvajalz
Coronel,BERNARDO ULLOA,IND,Sin Pacto,No,0,Ninguno,2004,https://www.facebook.com/bernardo.u.alcalde,
Corral,GASTON PEREZ,IND,Coalición,Sí,20,1992-2012,"1992, 1996, 2000, 2004, 2008",,Alcaldedecorral
Corral,MIGUEL HERNANDEZ ,PPD,Por un Chile Justo,No,0,Ninguno,"2000, 2004, 2008",https://www.facebook.com/miguelhernandez.alcalde,
Coyhaique,OMAR MUÑOZ,UDI,Coalición,Sí,4,2008-2012,2008,https://www.facebook.com/groups/192365360898443/,Alcaldeomunoz
Coyhaique,ALEJANDRO HUALA ,PS,Concertación,No,0,Ninguno,No,,hualacoyhaique
Coyhaique,VICTOR ACEVEDO,IND,Sin Pacto,No,0,Ninguno,No,,CoyhaiqueVictor
Cunco,ALFONSO COKE,PPD,Por un Chile Justo,No,0,Ninguno,No,,
Cunco,PATRICIO MITTERSTEINER,UDI,Coalición,Sí,12,2000 - 2012,"1996, 2000, 2004, 2008",,
Cunco,PATRICIO OAKLEY ,IND,Sin Pacto,No,0,Ninguno,"1992, 1996, 2000",https://www.facebook.com/pages/Patricio-Guillermo-Oakley-Oviedo/35454304694,
Curacautín,JORGE SAQUEL,IND,Concertación,Sí,4,2008 - 2012,"2000, 2004, 2008",,
Curacautín,JUAN BELTRAN,RN,Coalición,No,0,Ninguno,2000,,
Curacaví,JUAN PABLO BARROS,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/JuanPabloBarrosAlcalde,
Curacaví,LEONARDO BRAVO ,DC,Concertación,No,0,Ninguno,No,,Bravoxcuracavi
Curaco de Vélez,LUIS CURUMILLA ,DC,Concertación,Sí,12,2000-2012,"2000, 2004, 2008",,
Curaco de Vélez,PATRICIA VARGAS,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/patricia.v.lyon,
Curanilahue,AHIMALEC BENITEZ ,DC,Concertación,Sí,4,2008-2012,"1996, 2000, 2004, 2008",https://www.facebook.com/ahimalecbenitez.alcalde,Ahimalec2012
Curanilahue,LUIS GENGNAGEL ,IND,Coalición,No,0,Ninguno,2008,,
Curanilahue,REGINA SANHUEZA ,IND,Sin Pacto,No,0,Ninguno,No,,
Curanilahue,JUAN ARANEDA,IND,Sin Pacto,No,0,Ninguno,No,,
Curarrehue,ABEL PAINEFILO ,PPD,Por un Chile Justo,No,8,2000 - 2008,"1992, 1996, 2000, 2004, 2008",,
Curarrehue,HECTOR CARRASCO,RN,Coalición,Sí,8,1996 - 2000 / 2008 - 2012,1996,,Curarrehue_h3
Curarrehue,FERNANDO JELVEZ,IND,El cambio por ti,No,0,Ninguno,No,,
Curepto,ARMANDO GONZALEZ ,RN,Coalición,Sí,12,2000 - 2012,"1996, 2000, 2004, 2008",https://www.facebook.com/armando.gonzalezalcalde.9,
Curepto,RENE CONCHA,IND,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/reneconchaalcalde,reneAlcalde
Curicó,PAOLA PARRA ,PH,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/paola.parra.10690203,Paolaanaparra
Curicó,HUGO REY MARTINEZ,UDI,Coalición,Sí,4,2008 - 2012,"2000, 2008",,
Curicó,JAVIER MUÑOZ,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/javier.munozcandidatoaalcalde,Javiermalcalde
Curicó,RAUL BASUALTO,PRI,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/Raulbasualto.curico?filter=1,Raulbasualto
Dalcahue, ALFREDO HURTADO,DC,Concertación,Sí,8,1992-1996/ 2008-2012,"1992, 1996, 2000, 2004, 2008",,
Dalcahue,JUAN PEREZ,RN,Coalición,No,12,1996-2008,"1996, 2000, 2004",,
Dalcahue,RAMIRO BARRIA ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/ramirobarria.alcaldeparadalcahue,RamiroBarriaBor
Dalcahue,RICARDO BARRIENTOS,PRO,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/ricardobarrientos.alcaldepordalcahue,
Diego de Almagro,HECTOR ZAMORA,PRO,El cambio por ti,No,0,Ninguno,No,,
Diego de Almagro,ISAIAS ZAVALA,PC,Por un Chile Justo,Sí,8,2004-2012,"1992, 1996, 2000, 2004, 2008",,
Diego de Almagro,MESAC MOLGAS,IND,Regionalistas e Independientes,No,0,Ninguno,2008,,
Diego de Almagro,PATRICIO PARRA,IND,Coalición,No,0,Ninguno,No,,
Doñihue,DEYSI NAVARRO ,IND,Regionalistas e Independientes,No,0,Ninguno,No,,
Doñihue,PAULO MORALES,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/candidatoalcaldedonihue.paulomorales,
Doñihue,RICARDO ACUÑA,PPD,Por un Chile Justo,No,0,Ninguno,No,,
El Bosque,CARLOS CONTRERAS,RN,Coalición,No,0,Ninguno,"1992, 1996, 2000, 2004",,Contreras012
El Bosque,SADI MELO,PS,Concertación,Sí,20,1992 - 2012,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/sadimeloalcalde,Sadimelo
El Carmen,JOSE SAN MARTIN ,DC,Concertación,No,0,Ninguno,"1996, 2000",,
El Carmen,JUAN DIAZ,UDI,Coalición,Sí,10,1992 - 1994 / 1996 - 2000 / 2008 - 2012,"1992, 1996, 2000, 2004, 2008",,
El Monte,ADELA MOYA,IND,Coalición,No,0,Ninguno,"1996, 2000, 2004",,
El Monte,FRANCISCO GOMEZ ,PS,Concertación,No,8,2000 - 2008,"2000, 2004, 2008",https://www.facebook.com/francisco.gomezramirez.3,Franciscogr
El Monte,JOHN GENERAL,IND,Sin Pacto,No,0,Ninguno,No,,
El Quisco,CRISTOFER CEBALLOS,UDI,Coalición,No,0,Ninguno,2000,,cristoferconcej
El Quisco,LUIS GONZALEZ ,IND,Sin Pacto,No,0,Ninguno,2008,,
El Quisco,NATALIA CARRASCO,DC,Concertación,Sí,12,2000-2012,"2000, 2004, 2008",,alcaldeelquisco
El Tabo,EMILIO JORQUERA,PPD,Por un Chile Justo,Sí,8,1992-1996/2008-2012,"1992, 2000, 2008",,
El Tabo,GLORIA CARRASCO,RN,Coalición,No,0,Ninguno,"1992, 2008",,
El Tabo,LUIS GARCIA ,PRO,El cambio por ti,No,8,1996-2004,"1996, 2000, 2004",,
Empedrado,MIGUEL VALDES ,PS,Concertación,No,0,Ninguno,2000,,
Empedrado,GONZALO TEJOS,UDI,Coalición,Sí,16,1996-2012,"1992, 1996, 2000, 2004, 2008",,
Empedrado,MANUEL BAEZ,IND,Sin Pacto,No,0,Ninguno,"1992, 1996, 2008",,
Ercilla,JERALDO PADILLA,PS,Concertación,No,8,1996 - 2000 / 2004 - 2008,"1992, 1996, 2000, 2004, 2008",,
Ercilla,HERALDO SEPULVEDA,IND,Sin Pacto,No,0,Ninguno,No,,
Ercilla,JOSE VILUGRON,UDI,Coalición,Sí,4,2008 - 2012,"2000, 2008",,
Ercilla,VALENTIN VIDAL,IND,El cambio por ti,No,8,1992 -1996 / 2000 - 2004,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/valentinvidal.alcaldeercilla,
Estación Central,CAMILO BALLESTEROS,PC,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/Camilo.ballesteros.briones/timeline,Camilo_B2012
Estación Central,RENE OSORIO,IND,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/rene.alcaldeestacioncentral?fref=ts,
Estación Central,RODRIGO DELGADO,UDI,Coalición,Sí,4,2008 - 2012,2008,https://www.facebook.com/rodrigo.delgado.alcalde.estacion.central,RodrigoDelgadoM
Florida,AGUSTIN MONTERO ,IND,Sin Pacto,No,0,Ninguno,"1992, 1996, 2000",,
Florida,CRISTIAN PEÑA ,IND,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/Alcaldeflorida2012,
Florida,GERARDO CID ,PRI,Regionalistas e Independientes,No,0,Ninguno,"2000, 2004, 2008",,
Florida,JORGE ROA ,DC,Concertación,No,0,Ninguno,2000,,
Florida,JOSE MIGUEL PAZOLS,IND,Sin Pacto,No,0,Ninguno,No,,JosMiguelPazols
Florida,JUAN VERGARA ,UDI,Coalición,Sí,8,2000 - 2004 / 2008 - 2012,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/juan.v.alcalde,
Florida,LUIS FERNANDEZ ,IND,Sin Pacto,No,0,Ninguno,No,,
Freire,TUCAPEL SEPÚLVEDA,IND,Sin Pacto,No,0,Ninguno,No,,
Freire,CÉSAR ANCAO,IND,Regionalistas e Independientes,No,0,Ninguno,2000,,
Freire,JAIME CASTRO,PRO,El cambio por ti,No,0,Ninguno,No,,
Freire,JOSE BRAVO,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/jose.bravoburgos,Drbravoxfreire
Freire,LUIS ARIAS,DC,Concertación,Sí,16,1992-2004/ 2008-2012,"1992, 1996, 2000, 2004, 2008",,
Freirina,CESAR ORELLANA,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/orellana.freirina,Cesar_Freirina
Freirina,PEDRO HIRTZ ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Pedro-Hirtz-Alcalde-de-Freirina-2012/211514065546121,
Freirina,ROBERTO BRUZZONE,RN,Coalición,Sí,4,2008-2012,"1992, 1996, 2000, 2004, 2008",,
Freirina,LUIS FLORES,IND,Sin Pacto,No,0,Ninguno,No,,
Fresia,BERNARDO ESPINOZA,PS,Concertación,Sí,12,1992-2000/ 2008-2012,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/bernardo.espinozaalcaldefresia,
Fresia,RODRIGO GUARDA,IND,Coalición,No,0,Ninguno,2008,https://www.facebook.com/RodrigoGuardaBarrientos/timeline?filter=2,rguarda2012
Frutillar,CLAUS LINDEMANN,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/clauslindemann.alcaldefrutillar,
Frutillar,RAMON ESPINOZA ,PS,Concertación,Sí,8,2004 - 2012,"2004, 2008",,Espinoza_Ramon
Frutillar,MARCELO ARISMENDI,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Yo-apoyo-a-Marcelo-Arismendi-como-alcalde/162138943922633,Marcearismendi
Futaleufú,FERNANDO GRANDON,IND,Coalición,No,0,Ninguno,No,,
Futaleufú,ARTURO CARVALLO,DC,Concertación,Sí,12,2000 - 2012,"1996, 2000, 2004, 2008",,
Futaleufú,JUAN GATICA ,PRI,Regionalistas e Independientes,No,0,Ninguno,2008,,
Futrono,JORGE TATTER,UDI,Coalición,Sí,8,2004 - 2012,"2000, 2004, 2008",,
Futrono,SARITA JARAMILLO,PPD,Por un Chile Justo,No,0,Ninguno,No,,
Galvarino,CLAUDIO CARCAMO,RN,Coalición,No,6,1994-2000,"1992, 1996, 2000, 2004",,
Galvarino,FERNANDO HUAIQUIL ,IND,El cambio por ti,No,0,Ninguno,"1992, 2000",,ConceHuaiquil
Galvarino,CAROLA CORDERO,PRI,Regionalistas e Independientes,No,0,Ninguno,No,,
General Lagos, PATRICIO BARRAZA,PRSD,Por un Chile Justo,No,0,Ninguno,No,,
General Lagos,EDUARDO VASQUEZ ,IND,Sin Pacto,No,0,Ninguno,No,,
General Lagos,GREGORIO MENDOZA ,RN,Coalición,Sí,16,1996-2012,"1992, 1996, 2000, 2004, 2008",,
General Lagos,JORGE FLORES,IND,Sin Pacto,No,0,Ninguno,No,,
General Lagos,JULIO HUANCA,PRI,Regionalistas e Independientes,No,0,Ninguno,No,,
Gorbea,GUIDO SIEGMUND,UDI,Coalición,Sí,8,2000-2004/ 2008-2012,"2000, 2004, 2008",,
Gorbea,JUAN ESTEBAN MEZA ,PRSD,Por un Chile Justo,No,4,2004-2008,"2004, 2008 ",https://www.facebook.com/JuanEstebanMezaAlcalde,
Graneros,FRANCISCO BELTRAN,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/francisco.beltran.39566,FBeltran2012
Graneros,JUAN PABLO DIAZ,DC,Concertación,Sí,12,2000 - 2012,"2000, 2004, 2008",,
Graneros,CLAUDIO SEGOVIA,IND,Sin Pacto,No,0,Ninguno,"2000, 2004, 2008",https://www.facebook.com/claudiosegovia.alcaldegraneros,SEGOVIACLAUDIO
Guaitecas,CRISTIAN ALVARADO,IND,Coalición,No,0,Ninguno,No,,Cristianmka
Guaitecas,MARCOS SILVA ,PPD,Por un Chile Justo,No,0,Ninguno,No,,
Hijuelas,GLADYS VERDUGO ,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/pages/Gladys-Verdugo-Palma-alcaldesa-de-hijuelas/447906921914742,
Hijuelas,VERONICA ROSSAT,UDI,Coalición,No,0,Ninguno,No,,veronicarossat
Hualaihué,FERNANDO HERNANDEZ,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/fernando.hernandez.75098,
Hualaihué,FREDDY IBACACHE ,PPD,Por un Chile Justo,Sí,4,2008-2012,"1992, 1996, 2008",,
Hualaihué,EDUARDO SANHUEZA,IND,Sin Pacto,No,14,1994-2008,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/eduardo.s.alcalde,
Hualañé,CLAUDIO PUCHER ,RN,Coalición,Sí,4,2008-2012,"2000, 2008",,claudiopucher
Hualañé,MARISOL PEREZ,IND,Sin Pacto,No,0,Ninguno,No,,MarisolPerezS
Hualañé,SAMUEL BAEZA,DC,Concertación,No,8,2000- 2008,"1996, 2000, 2004, 2008",,
Hualpén,FABIOLA LAGOS,PPD,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/pages/Fabiola-Lagos-Alcaldesa-Por-Hualpen/328201630561687,
Hualpén,GABRIEL TORRES,RN,Coalición,No,0,Ninguno,No,,G_Torres_H
Hualpén,CLAUDIO PRADENA,IND,Sin Pacto,No,0,Ninguno,No,,
Hualpén, ELICIA HERRERA,IND,Sin Pacto,No,0,Ninguno,2004,,Eliciaherrera
Hualpén,CARLOS NARVAEZ,IND,Sin Pacto,No,0,Ninguno,No,,
Hualpén,ALEX BASAUR,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/hualpen.paratodos,AlexBasaurF
Hualpén,MARCELO MELLA ,IND,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/MarceloMellaAlcaldeHualpen2012,Marcelo_Mella
Hualqui,FABIAN MAQUEIRA ,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/FabianMaqueiracandidatoAAlcaldePorHualqui,
Hualqui,RICARDO FUENTES,IND,Concertación,Sí,2012,2008 - 2012,"2004, 2008",,
Huara,ALEJANDRO ZURITA,IND,Regionalistas e Independientes,No,0,Ninguno,No,,
Huara,CARLOS SILVA,PRSD,Por un Chile Justo,Sí,2,2010-2012,No,,Alcaldesilva
Huara,JOSE BARTOLO ,PRO,El cambio por ti,No,0,Ninguno,No,,
Huara,SERGIO PLATERO,RN,Coalición,Sí**,2,2008 - 2010,"2004, 2008",,
Huasco,MANUEL NANJARI,UDI,Coalición,No,0,Ninguno,No,https://www.facebook.com/manuel.nanjaricontreras,Manu_Nanjari
Huasco,RODRIGO LOYOLA,PPD,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/rodrigo.loyolaalcalde,
Huasco,JUAN MONTOYA,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/juancarlos.montoya.3388,
Huechuraba,CARLOS CUADRADO,PPD,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/carlos.cuadrado.prats,Cuadrado2012
Huechuraba,GONZALO MERA,IND,Sin Pacto,No,0,Ninguno,No,,
Huechuraba,GONZALO RAMIREZ ,IND,El cambio por ti,No,0,Ninguno,No,,Hipfree
Huechuraba,MARCELO TEUBER ,UDI,Coalición,No,0,Ninguno,No,,Marceloteuber
Huechuraba,DANIEL BUSTOS,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/daniel.concejal,Alcalde_Bustos
Illapel,DENIS CORTES,IND,Por un Chile Justo,Sí,4,2008-2012,"1996, 2000, 2008",https://www.facebook.com/denis.cortesvargasalcaldedeillapel,
Illapel,ALBERTO GONZALEZ ,IND,Coalición,No,0,Ninguno,No,,
Illapel,ZAIDA DABED ,IND,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/zaidadabed.alcaldesaparaillapel?fref=ts,
Illapel,PATRICIO TRIGO,IND,Concertación,No,0,Ninguno,No,,Patriciotrigo
Independencia,ANTONIO GARRIDO,RN,Coalición,Sí,16,1996 - 2012,"1992, 1996, 2000, 2004, 2008",,Alcaldegarrido
Independencia,GONZALO DURAN ,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/gonzaloduranb,Duranbaronti
Iquique,CRISTIAN JAMETT,PRO,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/cristianandres.jamettpizarro?fref=ts,Cristianjamett
Iquique,DANIEL SOLA,IND,Sin Pacto,No,0,Ninguno,No,,Danielsola75
Iquique,FRANCISCO PRIETO,PPD,Por un Chile Justo,No,0,Ninguno,No,,
Iquique,HAROLDO QUINTEROS,IND,Igualdad para Chile,No,0,Ninguno,No,,
Iquique,JORGE SORIA,IND,Por el Desarrollo del Norte,No,16,1992 - 2008,"1992, 1996, 2000, 2004",https://www.facebook.com/pages/Jorge-Soria-Quiroga/389200541149119,
Iquique,MYRTA DUBOST,IND,Coalición,Sí,4,2008 - 2012,2008,https://www.facebook.com/groups/262752007161911/?fref=ts,
Isla de Maipo,CARLOS ADASME ,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/carlosadasmealcalde?fref=ts,Carlosadasme
Isla de Maipo,CARLOS NAVARRO,IND,Igualdad para Chile,No,0,Ninguno,No,https://www.facebook.com/carlos.gallinato,
Isla de Maipo,JORGE MADRIAGA,PRO,El cambio por ti,No,0,Ninguno,No,,Jorgemadriagace
Isla de Maipo,HERNAN LEIVA,RN,Coalición,No,0,Ninguno,"2000, 1996",https://www.facebook.com/hernan.lissembart,
Isla de Pascua,JOSE RAPU,IND,Sin Pacto,No,0,Ninguno,No,,
Isla de Pascua,JULIO ARAKI,UDI,Coalición,No,0,Ninguno,"2000, 2004",,
Isla de Pascua,LUZ ZASSO,DC,Concertación,Sí,4,2008 - 2012,2008,,
Isla de Pascua,MATA - U´IROA MANUEL ATAN ,IND,Sin Pacto,No,0,Ninguno,No,,Mata_Atan
Isla de Pascua,PEDRO EDMUNS,PRO,El cambio por ti,No,10,1994 - 2004,"1992, 1996, 2000, 2004",,
Juan Fernández,MARCELO ARREDONDO,PRSD,Por un Chile Justo,No,0,Ninguno,No,,
Juan Fernández,FELIPE PAREDES,IND,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/pages/Nueva-Era-Fernandeziana-Felipe-Paredes-Alcalde-2012/342013142559399,
Juan Fernández,LEOPOLDO GONZALEZ,RN,Coalición,Sí,20,1992 - 2012,"1992, 1996, 2000, 2004, 2008",,
La Calera,EDUARDO MARTINEZ ,DC,Concertación,Sí,4,2008 - 2012,"1992, 1996, 2000, 2008",,
La Calera,GERARDO MATURANA,UDI,Coalición,No,0,Ninguno,No,https://www.facebook.com/pages/Gerardo-Maturana-Alcalde-De-La-Calera/347934665300898,
La Calera,ROBINSON RIVEROS ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/robinson.riveros.71?fref=ts,
La Calera,JUAN ESTAY SEGURA,PH,Más Humanos,No,0,Ninguno,No,,
La Cisterna,CHRISTIAN MOREIRA,UDI,Coalición,No,0,Ninguno,No,,
La Cisterna,LIONEL GONZALEZ ,IND,Regionalistas e Independientes,No,0,Ninguno,No,http://www.facebook.com/pages/Lionel-Gonzalez-Alcalde-la-Cisterna-2012/138971279477265,
La Cisterna,SANTIAGO REBOLLEDO,PPD,Por un Chile Justo,Sí,8,2004-2012,"1992, 1996, 2000, 2004, 2008",,
La Cisterna,DAVID MATELUNA,IND,El cambio por ti,No,0,Ninguno,No,,Daulmal
La Cruz,HERNAN ANGUITA ,PS,Concertación,No,0,Ninguno,"2000, 2004, 2008",,
La Cruz,MAITE LARRONDO,UDI,Coalición,Sí,12,2000-2012,"1996, 2000, 2004, 2008",,
La Estrella,GUILLERMO FERNANDEZ,IND,Por un Chile Justo,No,0,Ninguno,"1992, 1996, 2000, 2004, 2008",,
La Estrella,GASTON FERNANDEZ ,IND,Coalición,Si,4,2008-2012,2008,,
La Florida,GONZALO DUARTE,DC,Concertación,No,8,1992 - 2000,"1992, 1996, 2000",http://www.facebook.com/media/set/?set=a.4359932437694.178402.1269270974&type=3&l=e974e5e888,Gduartel
La Florida,IVAN MLYNARZ  ,PRO,El cambio por ti,No,0,Ninguno,No,http://www.facebook.com/LaFloridaMereceMas,Ivanmlynarz
La Florida,PATRICIO GUZMAN ,IND,Igualdad para Chile,No,0,Ninguno,No,,
La Florida,RODRIGO CORTEZ ,IND,Regionalistas e Independientes,No,0,Ninguno,No,,R_Cortez_Sasso
La Florida,RODOLFO CARTER,UDI,Coalición,Sí,1,2011-2012,2000,,Rodolfocarter
La Granja,AGUSTIN CASALI,UDI,Coalición,No,0,Ninguno,No,,
La Granja,FELIPE DELPIN ,DC,Concertación,No,0,Ninguno,"1992, 1996, 2000",http://www.facebook.com/delpinalcalde,Felipedelpin
La Granja,RAUL PALACIOS,MAS,Más Humanos,No,0,Ninguno,No,,
La Higuera,MIGUEL TORRES,IND,Sin Pacto,No,0,Ninguno,2008,https://www.facebook.com/migueltorresromero,
La Higuera,OSCAR AVILEZ,DC,Concertación,No,0,Ninguno,2000,,
La Higuera,EFRAIN ALEGRIA,IND,Sin Pacto,No,14,1994 - 2008,"1992, 1996, 2000, 2004",,
La Higuera,YERKO GALLEGUILLOS,UDI,Coalición,No,0,Ninguno,No,,Yerko_Alcalde
La Ligua,JUAN YAÑEZ ,IND,Sin Pacto,No,0,Ninguno,No,,
La Ligua,MARIA TERESA CERDA,RN,Coalición,No,0,Ninguno,No,,
La Ligua,RODRIGO SANCHEZ,PC,Por un Chile Justo,Sí,4,2008 - 2012,2008,,
La Pintana,JAIME PAVEZ,PPD,Por un Chile Justo,Sí,20,1992-2012,"1992, 1996, 2000, 2004, 2008",,Jaimepavezm
La Pintana,MARCO CANCINO ,PI,Igualdad para Chile,No,0,Ninguno,No,https://www.facebook.com/groups/370214413050233/?ref=ts&fref=ts,
La Pintana,PATRICIO LAGUNA,UDI,Coalición,No,0,Ninguno,No,https://www.facebook.com/patricio.laguna.5?fref=ts,Patriciolagunag
La Reina,JUAN OSSA ,PH,Más Humanos,No,0,Ninguno,No,http://www.facebook.com/JGOssaAlcaldeXLaReina,jgossa
La Reina,CATALINA DEL REAL,RN,Coalición,No,0,Ninguno,No,http://www.facebook.com/CataDelRealM?filter=1,Catadelrealm
La Reina,LUIS MONTT,IND,Sin Pacto,Sí,8,2004-2012,2000-2004-2008,https://www.facebook.com/groups/507523412597255/?fref=ts,
